t,src,status,d1,d2
1788433251.176377,iPad,157,43,120
1788433251.758883,iPad,221,0,0
1788433251.759002,iPad,141,43,64
1788433252.026516,iPad,238,0,64
1788433252.026516,iPad,158,43,120
1788433252.092186,iPad,222,0,0
1788433252.092297,iPad,142,43,64
1788433252.176751,iPad,239,0,64
1788433252.176751,iPad,159,43,120
1788433252.258926,iPad,223,0,0
1788433252.259072,iPad,143,43,64
1788433252.343454,iPad,225,0,64
1788433252.343454,iPad,145,42,120
1788433252.392312,iPad,225,112,63
1788433252.392506,iPad,209,13,0
1788433252.425583,iPad,209,8,0
1788433252.441973,iPad,209,0,0
1788433252.442089,iPad,129,42,64
1788433252.560104,iPad,226,0,64
1788433252.560104,iPad,146,41,120
1788433252.675480,iPad,210,0,0
1788433252.675599,iPad,130,41,64
1788433252.960198,iPad,228,0,64
1788433252.960198,iPad,148,40,120
1788433253.058918,iPad,212,0,0
1788433253.059009,iPad,132,40,64
1788433253.409983,iPad,227,0,64
1788433253.409983,iPad,147,39,120
1788433253.525502,iPad,211,0,0
1788433253.525593,iPad,131,39,64
1788433253.909634,iPad,229,0,64
1788433253.909634,iPad,149,38,120
1788433254.025459,iPad,213,0,0
1788433254.025576,iPad,133,38,64
1788433254.376209,iPad,230,0,64
1788433254.376209,iPad,150,37,120
1788433254.808727,iPad,214,0,0
1788433254.808849,iPad,134,37,64
1788433255.159385,iPad,233,0,64
1788433255.159385,iPad,153,37,120
1788433255.208833,iPad,233,20,64
1788433255.208960,iPad,217,2,0
1788433255.225409,iPad,233,71,64
1788433255.225546,iPad,217,3,0
1788433255.241846,iPad,233,120,64
1788433255.241976,iPad,217,2,0
1788433255.258719,iPad,233,40,65
1788433255.275448,iPad,233,96,65
1788433255.275567,iPad,217,3,0
1788433255.292018,iPad,233,30,66
1788433255.292111,iPad,217,4,0
1788433255.308641,iPad,233,92,66
1788433255.325371,iPad,233,27,67
1788433255.342031,iPad,233,89,67
1788433255.342168,iPad,217,5,0
1788433255.358672,iPad,233,21,68
1788433255.358910,iPad,217,6,0
1788433255.375313,iPad,233,82,68
1788433255.392016,iPad,233,16,69
1788433255.408745,iPad,233,76,69
1788433255.425404,iPad,233,8,70
1788433255.425532,iPad,217,5,0
1788433255.442060,iPad,233,67,70
1788433255.458757,iPad,233,119,70
1788433255.458845,iPad,217,4,0
1788433255.475499,iPad,233,41,71
1788433255.475623,iPad,217,3,0
1788433255.492145,iPad,233,85,71
1788433255.508781,iPad,233,123,71
