t,src,status,d1,d2
1788426331.795001,Réseau Session RTP 1,214,7,0
1788426331.807199,Réseau Session RTP 1,230,27,65
1788426331.807199,Réseau Session RTP 1,214,15,0
1788426331.909807,Réseau Session RTP 1,230,123,65
1788426331.909807,Réseau Session RTP 1,214,11,0
1788426331.909807,Réseau Session RTP 1,230,93,66
1788426331.909807,Réseau Session RTP 1,214,8,0
1788426331.909807,Réseau Session RTP 1,230,49,67
1788426331.909807,Réseau Session RTP 1,214,6,0
1788426331.909807,Réseau Session RTP 1,230,12,68
1788426331.909807,Réseau Session RTP 1,214,5,0
1788426331.909807,Réseau Session RTP 1,230,110,68
1788426331.909807,Réseau Session RTP 1,214,6,0
1788426331.909807,Réseau Session RTP 1,230,72,69
1788426331.909807,Réseau Session RTP 1,214,10,0
1788426331.925058,Réseau Session RTP 1,230,21,70
1788426331.925058,Réseau Session RTP 1,214,13,0
1788426331.941198,Réseau Session RTP 1,230,84,70
1788426331.941198,Réseau Session RTP 1,214,17,0
1788426331.957202,Réseau Session RTP 1,230,5,71
1788426331.957202,Réseau Session RTP 1,214,18,0
1788426331.975297,Réseau Session RTP 1,230,47,71
1788426331.975297,Réseau Session RTP 1,214,20,0
1788426331.991047,Réseau Session RTP 1,230,75,71
1788426331.991047,Réseau Session RTP 1,214,21,0
1788426332.006202,Réseau Session RTP 1,230,103,71
1788426332.006202,Réseau Session RTP 1,214,22,0
1788426332.024899,Réseau Session RTP 1,230,110,71
1788426332.024899,Réseau Session RTP 1,214,23,0
1788426332.040991,Réseau Session RTP 1,230,3,72
1788426332.040991,Réseau Session RTP 1,214,24,0
1788426332.057038,Réseau Session RTP 1,230,17,72
1788426332.091201,Réseau Session RTP 1,230,24,72
1788426332.091201,Réseau Session RTP 1,214,25,0
1788426332.106740,Réseau Session RTP 1,230,38,72
1788426332.125029,Réseau Session RTP 1,230,45,72
1788426332.125029,Réseau Session RTP 1,214,24,0
1788426332.157358,Réseau Session RTP 1,230,52,72
1788426332.175076,Réseau Session RTP 1,230,59,72
1788426332.191041,Réseau Session RTP 1,214,0,0
1788426332.191041,Réseau Session RTP 1,134,72,64
1788426332.808395,Réseau Session RTP 1,231,0,64
1788426332.808395,Réseau Session RTP 1,151,51,120
1788426332.824986,Réseau Session RTP 1,231,15,63
1788426332.824986,Réseau Session RTP 1,215,74,0
1788426332.840748,Réseau Session RTP 1,231,53,62
1788426332.857007,Réseau Session RTP 1,231,91,61
1788426332.857007,Réseau Session RTP 1,215,70,0
1788426332.957648,Réseau Session RTP 1,231,14,61
1788426332.957648,Réseau Session RTP 1,215,67,0
1788426332.957648,Réseau Session RTP 1,231,51,60
1788426332.957648,Réseau Session RTP 1,215,61,0
1788426332.957648,Réseau Session RTP 1,231,102,59
1788426332.957648,Réseau Session RTP 1,215,57,0
1788426332.957648,Réseau Session RTP 1,231,32,59
1788426332.957648,Réseau Session RTP 1,215,54,0
1788426332.957648,Réseau Session RTP 1,231,97,58
1788426332.957648,Réseau Session RTP 1,215,51,0
1788426332.958980,Réseau Session RTP 1,231,35,58
1788426332.958980,Réseau Session RTP 1,215,47,0
1788426332.975460,Réseau Session RTP 1,231,114,57
1788426332.975460,Réseau Session RTP 1,215,45,0
1788426332.991164,Réseau Session RTP 1,231,58,57
1788426332.991164,Réseau Session RTP 1,215,42,0
1788426333.007161,Réseau Session RTP 1,231,23,57
1788426333.007161,Réseau Session RTP 1,215,40,0
1788426333.025099,Réseau Session RTP 1,231,123,56
1788426333.025099,Réseau Session RTP 1,215,39,0
1788426333.040960,Réseau Session RTP 1,231,109,56
1788426333.256957,Réseau Session RTP 1,215,0,0
1788426333.256957,Réseau Session RTP 1,135,51,64
1788426333.775099,Réseau Session RTP 1,232,0,64
1788426333.775099,Réseau Session RTP 1,152,51,120
1788426333.775099,Réseau Session RTP 1,233,0,64
1788426333.775099,Réseau Session RTP 1,153,57,120
1788426333.840581,Réseau Session RTP 1,232,55,63
1788426333.840581,Réseau Session RTP 1,216,43,0
1788426333.840581,Réseau Session RTP 1,233,65,63
1788426333.840581,Réseau Session RTP 1,217,9,0
1788426333.856568,Réseau Session RTP 1,232,95,62
1788426333.856568,Réseau Session RTP 1,216,55,0
1788426333.856568,Réseau Session RTP 1,233,81,62
1788426333.856568,Réseau Session RTP 1,217,15,0
1788426333.875337,Réseau Session RTP 1,232,60,62
1788426333.875337,Réseau Session RTP 1,216,46,0
1788426333.875337,Réseau Session RTP 1,233,39,62
1788426333.875337,Réseau Session RTP 1,217,12,0
1788426333.890985,Réseau Session RTP 1,232,56,61
1788426333.890985,Réseau Session RTP 1,216,39,0
1788426333.890985,Réseau Session RTP 1,233,112,61
1788426333.890985,Réseau Session RTP 1,217,10,0
1788426333.907803,Réseau Session RTP 1,232,93,60
1788426333.907803,Réseau Session RTP 1,216,29,0
1788426333.907803,Réseau Session RTP 1,233,107,60
1788426333.907803,Réseau Session RTP 1,217,7,0
1788426334.006085,Réseau Session RTP 1,232,9,60
1788426334.006085,Réseau Session RTP 1,233,123,59
1788426334.006085,Réseau Session RTP 1,217,5,0
1788426334.006085,Réseau Session RTP 1,232,67,59
1788426334.006085,Réseau Session RTP 1,233,25,59
1788426334.006085,Réseau Session RTP 1,217,4,0
1788426334.006085,Réseau Session RTP 1,232,11,59
1788426334.006085,Réseau Session RTP 1,233,76,58
1788426334.006085,Réseau Session RTP 1,217,5,0
1788426334.006085,Réseau Session RTP 1,216,28,0
