t,status,d1,d2,src
690698.5522,228,6,64,4
690698.5605,228,9,64,4
690698.5688,228,13,64,4
690698.5773,228,16,64,4
690698.5855,228,19,64,4
690698.5936,228,22,64,4
690698.6031,228,25,64,4
690698.6110,228,28,64,4
690698.6189,228,32,64,4
690698.6265,228,97,63,4
690698.6265,148,57,127,4
690698.6265,132,55,0,4
690698.6350,228,100,63,4
690698.6436,228,104,63,4
690698.6531,228,107,63,4
690698.6606,228,110,63,4
690698.6679,228,113,63,4
690698.6771,228,116,63,4
690698.6852,228,120,63,4
690698.6932,228,123,63,4
690698.7007,228,126,63,4
690698.7093,228,1,64,4
690698.7182,228,4,64,4
690698.7263,228,8,64,4
690698.7345,228,11,64,4
690698.7435,228,14,64,4
690698.7510,228,17,64,4
690698.7592,228,20,64,4
690698.7675,228,24,64,4
690698.7762,228,27,64,4
690698.7838,228,30,64,4
690698.7927,228,33,64,4
690698.8009,228,36,64,4
690698.8092,228,40,64,4
690698.8176,228,43,64,4
690698.8256,228,46,64,4
690698.8339,228,49,64,4
690698.8424,228,52,64,4
690698.8510,228,56,64,4
690698.8588,228,59,64,4
690698.8667,228,62,64,4
690698.8753,228,65,64,4
690698.8840,228,68,64,4
690698.8922,228,60,63,4
690698.8922,148,59,127,4
690698.8922,132,57,0,4
690698.9003,228,63,63,4
690698.9075,228,66,63,4
690698.9163,228,69,63,4
690698.9190,212,0,0,4
690698.9190,132,59,64,4
# dropped_loopback_messages: 0
