t_s,port,port_name,status,d1,d2
6309.379869,32:0,SAMSUNG_Android SAMSUNG_Android MIDI 1,134,33,64
6309.400330,128:0,Tab S8 Ultra de Pedro Tab S8 Ultra de Pedro Bluetooth,230,0,64
6309.400332,128:0,Tab S8 Ultra de Pedro Tab S8 Ultra de Pedro Bluetooth,150,33,96
6309.400333,128:0,Tab S8 Ultra de Pedro Tab S8 Ultra de Pedro Bluetooth,214,0,0
6309.402249,128:0,Tab S8 Ultra de Pedro Tab S8 Ultra de Pedro Bluetooth,134,33,64
6309.922952,32:0,SAMSUNG_Android SAMSUNG_Android MIDI 1,231,0,64
6309.927445,32:0,SAMSUNG_Android SAMSUNG_Android MIDI 1,151,47,96
6309.930713,32:0,SAMSUNG_Android SAMSUNG_Android MIDI 1,215,0,0
6309.933627,32:0,SAMSUNG_Android SAMSUNG_Android MIDI 1,135,47,64
6309.940339,128:0,Tab S8 Ultra de Pedro Tab S8 Ultra de Pedro Bluetooth,231,0,64
6309.940341,128:0,Tab S8 Ultra de Pedro Tab S8 Ultra de Pedro Bluetooth,151,47,96
6309.940342,128:0,Tab S8 Ultra de Pedro Tab S8 Ultra de Pedro Bluetooth,215,0,0
6309.940342,128:0,Tab S8 Ultra de Pedro Tab S8 Ultra de Pedro Bluetooth,135,47,64
6313.243723,32:0,SAMSUNG_Android SAMSUNG_Android MIDI 1,176,64,127
6313.270234,128:0,Tab S8 Ultra de Pedro Tab S8 Ultra de Pedro Bluetooth,176,64,127
6313.843502,32:0,SAMSUNG_Android SAMSUNG_Android MIDI 1,176,64,0
6313.856349,128:0,Tab S8 Ultra de Pedro Tab S8 Ultra de Pedro Bluetooth,176,64,0
6314.398556,32:0,SAMSUNG_Android SAMSUNG_Android MIDI 1,232,0,64
6314.399880,32:0,SAMSUNG_Android SAMSUNG_Android MIDI 1,152,49,127
6314.411754,32:0,SAMSUNG_Android SAMSUNG_Android MIDI 1,232,92,64
6314.414759,32:0,SAMSUNG_Android SAMSUNG_Android MIDI 1,216,127,0
6314.424637,32:0,SAMSUNG_Android SAMSUNG_Android MIDI 1,232,103,64
6314.425745,32:0,SAMSUNG_Android SAMSUNG_Android MIDI 1,232,70,63
6314.426498,32:0,SAMSUNG_Android SAMSUNG_Android MIDI 1,152,50,127
6314.426500,32:0,SAMSUNG_Android SAMSUNG_Android MIDI 1,136,49,0
6314.438493,32:0,SAMSUNG_Android SAMSUNG_Android MIDI 1,232,77,63
6314.440271,128:0,Tab S8 Ultra de Pedro Tab S8 Ultra de Pedro Bluetooth,232,0,64
6314.452031,32:0,SAMSUNG_Android SAMSUNG_Android MIDI 1,232,100,63
6314.463151,32:0,SAMSUNG_Android SAMSUNG_Android MIDI 1,232,110,63
6314.476624,32:0,SAMSUNG_Android SAMSUNG_Android MIDI 1,232,2,64
6314.485174,128:0,Tab S8 Ultra de Pedro Tab S8 Ultra de Pedro Bluetooth,152,49,127
6314.485176,128:0,Tab S8 Ultra de Pedro Tab S8 Ultra de Pedro Bluetooth,232,92,64
6314.485177,128:0,Tab S8 Ultra de Pedro Tab S8 Ultra de Pedro Bluetooth,216,127,0
6314.487228,128:0,Tab S8 Ultra de Pedro Tab S8 Ultra de Pedro Bluetooth,232,103,64
6314.487230,128:0,Tab S8 Ultra de Pedro Tab S8 Ultra de Pedro Bluetooth,232,70,63
6314.487230,128:0,Tab S8 Ultra de Pedro Tab S8 Ultra de Pedro Bluetooth,152,50,127
6314.487231,128:0,Tab S8 Ultra de Pedro Tab S8 Ultra de Pedro Bluetooth,136,49,0
6314.490912,32:0,SAMSUNG_Android SAMSUNG_Android MIDI 1,232,13,64
6314.501562,32:0,SAMSUNG_Android SAMSUNG_Android MIDI 1,232,33,64
6314.511879,32:0,SAMSUNG_Android SAMSUNG_Android MIDI 1,232,43,64
6314.525506,32:0,SAMSUNG_Android SAMSUNG_Android MIDI 1,232,53,64
6314.530246,128:0,Tab S8 Ultra de Pedro Tab S8 Ultra de Pedro Bluetooth,232,77,63
6314.530248,128:0,Tab S8 Ultra de Pedro Tab S8 Ultra de Pedro Bluetooth,232,90,63
6314.530249,128:0,Tab S8 Ultra de Pedro Tab S8 Ultra de Pedro Bluetooth,232,100,63
6314.532325,128:0,Tab S8 Ultra de Pedro Tab S8 Ultra de Pedro Bluetooth,232,110,63
6314.539907,32:0,SAMSUNG_Android SAMSUNG_Android MIDI 1,232,72,64
6314.550522,32:0,SAMSUNG_Android SAMSUNG_Android MIDI 1,232,83,64
6314.563809,32:0,SAMSUNG_Android SAMSUNG_Android MIDI 1,232,103,64
6314.567010,32:0,SAMSUNG_Android SAMSUNG_Android MIDI 1,232,70,63
6314.568765,32:0,SAMSUNG_Android SAMSUNG_Android MIDI 1,152,51,127
6314.568767,32:0,SAMSUNG_Android SAMSUNG_Android MIDI 1,136,50,0
6314.575269,128:0,Tab S8 Ultra de Pedro Tab S8 Ultra de Pedro Bluetooth,232,120,63
6314.575274,128:0,Tab S8 Ultra de Pedro Tab S8 Ultra de Pedro Bluetooth,232,2,64
6314.575276,128:0,Tab S8 Ultra de Pedro Tab S8 Ultra de Pedro Bluetooth,232,13,64
6314.577260,128:0,Tab S8 Ultra de Pedro Tab S8 Ultra de Pedro Bluetooth,232,23,64
6314.577262,128:0,Tab S8 Ultra de Pedro Tab S8 Ultra de Pedro Bluetooth,232,33,64
