t,status,d1,d2,src
30048.2155,233,118,61,1
30048.2321,233,101,61,1
30048.2488,233,81,61,1
30048.2655,233,61,61,1
30048.2821,233,41,61,1
30048.2988,233,21,61,1
30048.3154,233,2,61,1
30048.3321,233,109,60,1
30048.3488,233,85,60,1
30048.3654,233,60,60,1
30048.3821,233,34,60,1
30048.3988,233,5,60,1
30048.4154,233,102,59,1
30048.4321,233,72,59,1
30048.4487,233,42,59,1
30048.4654,233,13,59,1
30048.4821,233,116,58,1
30048.4988,233,90,58,1
30048.5154,233,67,58,1
30048.5321,233,43,58,1
30048.5488,233,21,58,1
30048.5654,233,2,58,1
30048.5821,233,114,57,1
30048.5988,233,95,57,1
30048.6154,233,79,57,1
30048.6321,233,63,57,1
30048.6487,233,48,57,1
30048.6654,233,33,57,1
30048.6821,233,19,57,1
30048.6987,233,5,57,1
30048.7154,233,121,56,1
30048.7322,233,112,56,1
30048.7488,233,101,56,1
30048.7654,233,95,56,1
30048.7820,233,91,56,1
30048.7822,217,0,0,1
30048.7822,137,105,64,1
30050.0330,234,0,64,1
30050.0330,154,44,120,1
30050.1154,234,5,64,1
30050.1322,234,11,64,1
30050.1489,234,19,64,1
30050.1654,234,30,64,1
30050.1822,234,43,64,1
30050.1988,234,55,64,1
30050.2154,234,67,64,1
30050.2320,234,79,64,1
30050.2487,234,90,64,1
30050.2654,234,100,64,1
30050.2820,234,114,64,1
30050.2987,234,127,64,1
30050.3154,234,11,65,1
30050.3320,234,22,65,1
30050.3487,234,32,65,1
30050.3654,234,42,65,1
30050.3820,234,55,65,1
30050.3987,234,68,65,1
30050.4154,234,82,65,1
30050.4320,234,95,65,1
30050.4487,234,110,65,1
30050.4653,234,123,65,1
30050.4820,234,10,66,1
30050.4987,234,24,66,1
30050.5153,234,36,66,1
30050.5320,234,48,66,1
30050.5487,234,59,66,1
30050.5653,234,69,66,1
30050.5820,234,80,66,1
30050.5987,234,89,66,1
30050.6154,234,98,66,1
30050.6320,234,107,66,1
30050.6487,234,113,66,1
30050.6653,234,117,66,1
30050.6820,234,119,66,1
30050.6987,234,120,66,1
30050.7154,234,122,66,1
30050.7320,234,123,66,1
30050.8821,218,0,0,1
30050.8821,138,44,64,1
30051.9000,235,0,64,1
30051.9000,155,31,120,1
30051.9819,235,115,63,1
30051.9989,235,83,63,1
30052.0154,235,37,63,1
30052.0320,235,119,62,1
30052.0487,235,70,62,1
30052.0653,235,26,62,1
30052.0820,235,113,61,1
30052.0987,235,80,61,1
30052.1153,235,49,61,1
30052.1320,235,20,61,1
30052.1486,235,121,60,1
30052.1653,235,97,60,1
30052.1820,235,72,60,1
30052.1986,235,51,60,1
30052.2153,235,35,60,1
30052.2319,235,18,60,1
30052.2486,235,3,60,1
30052.2653,235,116,59,1
30052.2820,235,99,59,1
30052.2986,235,79,59,1
30052.3153,235,57,59,1
30052.3319,235,35,59,1
30052.3486,235,14,59,1
30052.3653,235,123,58,1
30052.3820,235,107,58,1
30052.3986,235,93,58,1
30052.4153,235,83,58,1
30052.4319,235,76,58,1
30052.4486,235,71,58,1
30052.4653,235,68,58,1
30052.4819,235,67,58,1
30052.7820,219,0,0,1
30052.7820,139,31,64,1
30053.7332,236,0,64,1
30053.7332,156,38,120,1
30053.7987,236,3,64,1
30053.8152,236,18,64,1
30053.8321,236,38,64,1
30053.8487,236,61,64,1
30053.8653,236,86,64,1
30053.8819,236,114,64,1
30053.8986,236,15,65,1
30053.9152,236,50,65,1
30053.9319,236,89,65,1
30053.9486,236,1,66,1
30053.9652,236,44,66,1
30053.9819,236,89,66,1
30053.9985,236,4,67,1
30054.0152,236,50,67,1
30054.0319,236,96,67,1
30054.0485,236,14,68,1
30054.0652,236,60,68,1
30054.0818,236,107,68,1
30054.0985,236,20,69,1
30054.1152,236,61,69,1
30054.1319,236,101,69,1
30054.1485,236,12,70,1
30054.1652,236,55,70,1
30054.1819,236,101,70,1
30054.1985,236,14,71,1
30054.2152,236,55,71,1
30054.2319,236,95,71,1
30054.2485,236,2,72,1
30054.2652,236,34,72,1
30054.2819,236,66,72,1
30054.2985,236,92,72,1
30054.3152,236,114,72,1
30054.3319,236,4,73,1
30054.3485,236,17,73,1
30054.3652,236,26,73,1
30054.3819,236,31,73,1
30054.3985,236,34,73,1
30054.4152,236,37,73,1
30054.4319,236,40,73,1
30054.4485,236,43,73,1
30054.4652,236,46,73,1
30054.4818,236,48,73,1
30054.4985,236,49,73,1
30054.5152,236,52,73,1
30054.5319,236,53,73,1
30054.5485,236,54,73,1
30054.5819,236,56,73,1
30054.5985,236,57,73,1
30054.6152,236,59,73,1
30054.6485,236,60,73,1
30054.6652,236,61,73,1
30054.6818,236,62,73,1
30054.7318,236,63,73,1
30055.0152,236,62,73,1
30055.0317,236,61,73,1
30055.0483,236,60,73,1
30055.0651,236,59,73,1
30055.0818,236,57,73,1
30055.0985,236,54,73,1
30055.1151,236,51,73,1
30055.1318,236,46,73,1
30055.1485,236,41,73,1
30055.1652,236,35,73,1
30055.1818,236,29,73,1
30055.1985,236,21,73,1
30055.2152,236,12,73,1
30055.2318,236,3,73,1
30055.2485,236,122,72,1
